Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1755037529,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1755037530,2,,Aggregated,0.000000,0.000000,13,13,13,13,13,13,13,13,13,13,13,2,2,4.302237997762859,8.439603494480252,4.302237997762859,12.576968991197646,0.0
1755037531,4,,Aggregated,0.000000,0.000000,4,4,4,4,13,13,13,13,13,13,13,6,6,3,4.777997164637782,2.230443002190441,12.576968991197646,0.0
1755037532,6,,Aggregated,2.000000,2.000000,3,3,4,4,13,13,13,13,13,13,13,10,10,3,4.063449695240706,2.230443002190441,12.576968991197646,0.0
1755037533,8,,Aggregated,2.000000,2.000000,3,3,4,4,4,13,13,13,13,13,13,16,16,3,3.6065344356757123,2.1810980106238276,12.576968991197646,0.0
1755037534,10,,Aggregated,3.000000,3.000000,3,3,3,3,4,4,13,13,13,13,13,27,27,3,3.1988553312624357,1.985592010896653,12.576968991197646,0.0
1755037535,12,,Aggregated,4.000000,4.000000,3,3,3,3,4,4,13,13,13,13,13,36,36,3,3.047672080962608,1.9550769939087331,12.576968991197646,0.0
1755037536,14,,Aggregated,5.200000,5.200000,3,3,3,3,4,4,13,13,13,13,13,49,49,3,2.929881346359735,1.7648239736445248,12.576968991197646,0.0
1755037537,16,,Aggregated,5.833333,5.833333,3,3,3,3,4,4,5,13,13,13,13,60,60,3,2.881063749373425,1.7648239736445248,12.576968991197646,0.0
1755037538,18,,Aggregated,6.714286,6.714286,2,3,3,3,4,4,5,13,13,13,13,78,78,2,2.7835544486804746,1.7648239736445248,12.576968991197646,0.0
1755037539,20,,Aggregated,7.250000,7.250000,2,3,3,3,4,4,5,13,13,13,13,96,96,2,2.7157473120193267,1.4690700045321137,12.576968991197646,0.0
1755037540,20,,Aggregated,8.333333,8.333333,2,3,3,3,4,4,5,5,13,13,13,112,112,2,2.730137160272404,1.4690700045321137,12.576968991197646,0.0
1755037541,20,,Aggregated,9.300000,9.300000,2,3,3,3,4,4,5,5,13,13,13,129,129,2,2.6775716121268798,1.4690700045321137,12.576968991197646,0.0
1755037542,20,,Aggregated,10.800000,10.800000,2,3,3,3,4,4,12,13,14,14,14,146,146,2,2.827405656667184,1.4690700045321137,13.779417990008369,0.0
1755037543,20,,Aggregated,12.200000,12.200000,2,3,3,3,4,4,5,13,14,14,14,164,164,2,2.770799913666518,1.4690700045321137,13.779417990008369,0.0
1755037544,20,,Aggregated,13.400000,13.400000,2,3,3,3,4,5,9,13,14,14,14,176,176,2,2.8556461873615095,1.4690700045321137,13.779417990008369,0.0
1755037545,20,,Aggregated,14.600000,14.600000,2,3,3,3,4,5,9,13,14,14,14,195,195,2,2.8606615429266524,1.4690700045321137,13.779417990008369,0.0
1755037546,20,,Aggregated,14.600000,14.600000,2,3,3,3,4,5,7,12,14,14,14,207,207,2,2.863438907534937,1.4690700045321137,13.779417990008369,0.0
1755037547,20,,Aggregated,15.600000,15.600000,2,3,3,3,4,5,7,12,14,14,14,227,227,2,2.814104026162972,1.4690700045321137,13.779417990008369,0.0
1755037548,20,,Aggregated,16.000000,16.000000,2,3,3,3,4,4,7,12,14,14,14,242,242,2,2.8222102518164562,1.4690700045321137,13.779417990008369,0.0
1755037549,20,,Aggregated,16.600000,16.600000,2,3,3,3,4,5,6,12,14,14,14,255,255,2,2.8085908190548126,1.4690700045321137,13.779417990008369,0.0
1755037550,20,,Aggregated,16.500000,16.500000,2,3,3,3,4,4,6,12,14,14,14,271,271,2,2.7840422574650647,1.4690700045321137,13.779417990008369,0.0
1755037551,20,,Aggregated,16.100000,16.100000,2,3,3,3,4,4,6,12,14,14,14,285,285,2,2.7645430415296897,1.4690700045321137,13.779417990008369,0.0
1755037552,20,,Aggregated,15.900000,15.900000,2,3,3,3,4,4,6,12,14,14,14,300,300,2,2.750295806229891,1.4690700045321137,13.779417990008369,0.0
1755037553,20,,Aggregated,15.600000,15.600000,2,3,3,3,4,4,5,9,14,14,14,316,316,2,2.735418509220398,1.4690700045321137,13.779417990008369,0.0
1755037554,20,,Aggregated,15.600000,15.600000,2,3,3,3,4,4,5,9,14,14,14,331,331,2,2.721517984533761,1.4690700045321137,13.779417990008369,0.0
